Shift,Strength
986.03619,1672.8601
987.47693,1682.9868
988.9176,1705.663
990.35834,1705.6884
991.79901,1701.9639
993.23975,1708.11
994.68048,1726.3596
996.12115,1751.264
997.56189,1742.1761
999.00256,1784.7961
1000.4433,1723.0706
1001.884,1694.9128
1003.3247,1708.7773
1004.7654,1718.2268
1006.2061,1700.4504
1007.6469,1695.4893
1009.0875,1740.4008
1010.5283,1745.4983
1011.969,1751.0565
1013.4097,1764.5665
1014.8504,1763.7618
1016.2911,1747.1133
1017.7318,1737.7422
1019.1725,1733.8899
1020.6132,1705.2933
1022.054,1729.3287
1023.4946,1742.1063
1024.9353,1744.8357
1026.3761,1719.2832
1027.8168,1695.3489
1029.2574,1723.8304
1030.6982,1704.2714
1032.1389,1694.2059
1033.5796,1701.4421
1035.0203,1730.2183
1036.4611,1726.6974
1037.9017,1729.2444
1039.3424,1747.1388
1040.7832,1723.9259
1042.2239,1744.8727
1043.6646,1756.2526
1045.1052,1723.8624
1046.546,1728.8876
1047.9867,1744.5419
1049.4274,1745.6826
1050.8682,1740.0507
1052.3088,1755.3914
1053.7495,1798.1044
1055.1903,1814.0902
1056.631,1856.641
1058.0717,1815.6747
1059.5123,1853.8436
1060.9531,1879.3942
1062.3938,1861.1346
1063.8345,1937.8706
1065.2753,1927.9352
1066.7159,1870.0753
1068.1566,1847.177
1069.5973,1836.8184
1071.0381,1828.7949
1072.4788,1828.6185
1073.9194,1849.5118
1075.3602,1895.4558
1076.8009,1946.9098
1078.2416,2001.6932
1079.6823,2068.2039
1081.123,2051.5581
1082.5637,1974.5626
1084.0044,1894.7241
1085.4452,1845.8918
1086.8859,1825.2153
1088.3265,1818.6866
1089.7672,1820.647
1091.208,1808.7416
1092.6487,1782.8629
1094.0894,1756.9351
1095.5302,1735.4174
1096.9708,1745.288
1098.4115,1766.2445
1099.8523,1724.5533
1101.293,1747.8958
1102.7336,1796.3988
1104.1743,1756.3777
1105.6151,1792.8668
1107.0558,1791.0201
1108.4965,1762.8439
1109.9373,1762.1655
1111.3779,1776.0991
1112.8186,1795.3602
1114.2593,1819.0955
1115.7001,1791.552
1117.1407,1749.4817
1118.5814,1794.5632
1120.0222,1833.9934
1121.4629,1819.4126
1122.9036,1798.5917
1124.3442,1800.1943
1125.785,1777.061
1127.2257,1795.7009
1128.6664,1821.7191
1130.1072,1789.2104
1131.5479,1792.566
1132.9885,1807.6273
1134.4292,1773.0518
1135.87,1724.1906
1137.3107,1777.6798
1138.7513,1786.2778
1140.1921,1806.2905
1141.6328,1817.2059
1143.0735,1822.4564
1144.5143,1807.0311
1145.955,1798.579
1147.3956,1816.0032
1148.8363,1828.3245
1150.2771,1836.5483
1151.7178,1896.3647
1153.1584,1926.1344
1154.5992,2036.1252
1156.0399,2073.4739
1157.4806,2118.6211
1158.9213,2162.9346
1160.3621,2131.5164
1161.8027,2069.0615
1163.2434,1942.0397
1164.6842,1942.4624
1166.1249,1879.9434
1167.5656,1819.6188
1169.0062,1798.4973
1170.447,1829.0414
1171.8877,1829.9401
1173.3284,1777.4677
1174.7692,1813.5817
1176.2098,1803.9406
1177.6505,1800.1185
1179.0912,1736.6095
1180.532,1748.6028
1181.9727,1760.4141
1183.4133,1765.4269
1184.8541,1767.0349
1186.2948,1763.5387
1187.7355,1774.3959
1189.1763,1724.9863
1190.6169,1781.7662
1192.0576,1782.3978
1193.4983,1794.6302
1194.9391,1789.2751
1196.3798,1789.1324
1197.8204,1792.274
1199.2612,1766.0278
1200.7019,1723.8793
1202.1426,1755.917
1203.5833,1726.7885
1205.024,1772.86
1206.4647,1783.7115
1207.9054,1794.1608
1209.3462,1771.5881
1210.7869,1753.3438
1212.2275,1771.7222
1213.6682,1775.7925
1215.109,1785.1
1216.5497,1830.1262
1217.9904,1755.1355
1219.4312,1799.2803
1220.8718,1805.9833
1222.3125,1828.7604
1223.7532,1838.3828
1225.194,1832.7821
1226.6346,1861.5522
1228.0753,1842.4071
1229.5161,1819.2345
1230.9568,1805.9982
1232.3975,1838.473
1233.8383,1867.2651
1235.2789,1823.3199
1236.7196,1786.8534
1238.1603,1786.2709
1239.6011,1792.9258
1241.0417,1801.0479
1242.4824,1715.5305
1243.9232,1808.829
1245.3639,1755.6145
1246.8046,1809.0636
1248.2452,1769.9973
1249.686,1795.4579
1251.1267,1830.5221
1252.5674,1812.9094
1254.0082,1816.2975
1255.4489,1813.0107
1256.8895,1750.2981
1258.3302,1751.676
1259.771,1765.6698
1261.2117,1797.2573
1262.6523,1789.0732
1264.0931,1795.21
1265.5338,1818.8738
1266.9745,1813.865
1268.4152,1779.1201
1269.856,1773.46
1271.2966,1816.5631
1272.7373,1731.417
1274.1781,1733.4781
1275.6188,1708.4111
1277.0594,1742.2916
1278.5002,1796.2859
1279.9409,1831.5497
1281.3816,1835.9884
1282.8223,1822.5024
1284.2631,1871.96
1285.7037,1816.9738
1287.1444,1807.2327
1288.5852,1725.7322
1290.0259,1765.2773
1291.4666,1791.498
1292.9072,1791.7384
1294.348,1798.3302
1295.7887,1807.9866
1297.2294,1794.449
1298.6702,1754.2451
1300.1108,1756.691
1301.5515,1725.6154
1302.9922,1752.8524
1304.433,1759.0332
1305.8737,1768.6567
1307.3143,1787.3489
1308.7551,1812.2188
1310.1958,1802.0732
1311.6365,1746.5969
1313.0771,1744.8848
1314.5179,1741.8678
1315.9586,1743.2693
1317.3993,1733.993
1318.8401,1715.9631
1320.2808,1742.5157
1321.7214,1769.5132
1323.1622,1782.9735
1324.6029,1787.1437
1326.0436,1780.4429
1327.4843,1779.8544
1328.925,1819.3547
1330.3657,1809.1234
1331.8064,1795.7827
1333.2472,1751.2725
1334.6879,1786.7827
1336.1285,1812.7914
1337.5692,1790.0391
1339.01,1776.486
1340.4507,1804.843
1341.8914,1823.4515
1343.3322,1794.2693
1344.7728,1764.6274
1346.2135,1764.7904
1347.6542,1766.8767
1349.095,1777.2272
1350.5356,1781.9077
1351.9763,1758.9037
1353.4171,1752.1626
1354.8578,1763.6586
1356.2985,1774.1212
1357.7391,1776.1697
1359.1799,1733.3578
1360.6206,1795.4745
1362.0613,1726.2279
1363.5021,1771.3955
1364.9427,1748.7545
1366.3834,1743.9648
1367.8242,1741.1882
1369.2649,1728.6981
1370.7056,1726.1168
1372.1462,1731.0775
1373.587,1737.0527
1375.0277,1789.8446
1376.4684,1768.9711
1377.9092,1774.2549
1379.3499,1732.0756
1380.7905,1772.8052
1382.2312,1781.871
1383.672,1773.804
1385.1127,1815.1919
1386.5533,1861.0315
1387.9941,1846.9434
1389.4348,1799.7809
1390.8755,1758.0457
1392.3162,1748.6946
1393.757,1759.4825
1395.1976,1697.6953
1396.6383,1740.3677
1398.0791,1744.9772
1399.5198,1729.2286
1400.9604,1740.2679
1402.4011,1766.3882
1403.8419,1755.2733
1405.2826,1732.7291
1406.7233,1783.0317
1408.1641,1803.8052
1409.6047,1791.0153
1411.0454,1775.8533
1412.4862,1733.1277
1413.9269,1775.9724
1415.3676,1725.3741
1416.8082,1737.6228
1418.249,1774.8044
1419.6897,1769.4424
1421.1304,1749.9471
1422.5712,1748.4369
1424.0118,1753.0217
1425.4525,1751.3191
1426.8932,1750.2367
1428.334,1707.5778
1429.7747,1767.2028
1431.2153,1773.5995
1432.6561,1756.1619
1434.0968,1753.8256
1435.5375,1733.7949
1436.9781,1744.0889
1438.4189,1765.8381
1439.8596,1720.7913
1441.3003,1730.6244
1442.7411,1731.5134
1444.1818,1756.2015
1445.6224,1719.1744
1447.0631,1773.2509
1448.5039,1783.6058
1449.9446,1773.3827
1451.3853,1751.948
1452.826,1723.4906
1454.2667,1755.6953
1455.7074,2041.1765
1457.1482,2439.2434
1458.5889,2311.4985
1460.0295,1833.5015
1461.4702,1731.3601
1462.911,1735.9401
1464.3517,1751.8502
1465.7924,1782.1655
1467.2332,1729.522
1468.6738,1743.1801
1470.1145,1730.2302
1471.5552,1720.813
1472.996,1741.0344
1474.4366,1751.5896
1475.8773,1770.7643
1477.3181,1751.7919
1478.7588,1696.9545
1480.1995,1735.772
1481.6401,1732.3239
1483.0809,1747.4563
1484.5216,1737.9187
1485.9623,1664.5825
1487.4031,1647.1257
1488.8438,1703.3422
1490.2844,1748.4707
1491.7251,1742.9142
1493.1659,1742.5514
1494.6066,1755.2225
1496.0472,1683.9827
1497.488,1720.3826
1498.9287,1765.1949
1500.3694,1767.4956
1501.8102,1713.6246
1503.2509,1739.6605
1504.6915,1748.2587
1506.1322,1726.1841
1507.573,1711.788
1509.0137,1732.9689
1510.4543,1737.5963
1511.8951,1707.1449
1513.3358,1705.1235
1514.7765,1709.6763
1516.2172,1752.9659
1517.658,1799.116
1519.0986,2077.5876
1520.5393,2400.9175
1521.9801,1992.8904
1523.4208,1766.5055
1524.8615,1696.5137
1526.3021,1688.824
1527.7429,1705.7672
1529.1836,1700.8829
1530.6243,1697.8906
1532.0651,1716.937
1533.5057,1670.9072
1534.9464,1621.3754
1536.3871,1699.3069
1537.8279,1685.2261
1539.2686,1688.6866
1540.7092,1655.7002
1542.15,1688.615
1543.5907,1708.3979
1545.0314,1648.8348
1546.4722,1653.0261
1547.9128,1689.3771
1549.3535,1690.9492
1550.7942,1691.8369
1552.235,1710.7584
1553.6757,1702.7494
1555.1163,1662.6166
1556.5571,1647.394
1557.9978,1674.6589
1559.4385,1667.0244
1560.8792,1708.0977
1562.3199,1681.6208
1563.7606,1693.8883
1565.2013,1698.2349
1566.6421,1697.5671
1568.0828,1684.0259
1569.5234,1658.7925
1570.9641,1675.2135
1572.4049,1696.7098
1573.8456,1650.2043
1575.2863,1651.7487
1576.7271,1676.8907
1578.1677,1684.7206
1579.6084,1661.9434
1581.0491,1629.1335
1582.4899,1620.2257
1583.9305,1634.3671
1585.3712,1663.7701
1586.812,1675.9688
1588.2527,1679.6721
1589.6934,1649.1785
1591.1342,1651.0062
1592.5748,1692.1433
1594.0155,1681.3583
1595.4562,1639.7985
1596.897,1637.3674
1598.3376,1704.429
1599.7783,1686.4244
1601.2191,1662.1764
1602.6598,1666.6746
1604.1005,1636.0662
1605.5411,1658.6595
1606.9819,1681.4379
1608.4226,1672.3353
1609.8633,1662.6604
1611.3041,1665.8879
1612.7448,1653.3051
1614.1854,1655.0767
1615.6261,1663.7252
1617.0669,1648.6281
1618.5076,1656.2843
1619.9482,1649.106
1621.389,1650.7334
1622.8297,1631.9048
1624.2704,1623.3549
1625.7111,1665.8435
1627.1519,1636.6105
1628.5925,1640.6539
1630.0332,1624.5791
1631.474,1653.4866
1632.9147,1651.8234
1634.3553,1640.6715
1635.7961,1640.8976
1637.2368,1618.8721
1638.6775,1623.7676
1640.1182,1632.8003
1641.559,1629.4462
1642.9996,1616.767
1644.4403,1614.3896
1645.8811,1619.3208
1647.3218,1614.8663
1648.7625,1601.2604
1650.2031,1608.5604
1651.6439,1618.7418
1653.0846,1566.4901
1654.5253,1574.512
1655.9661,1586.1608
1657.4067,1588.8121
1658.8474,1620.187
1660.2881,1610.8547
1661.7289,1591.511
1663.1696,1584.5256
1664.6102,1573.4818
1666.051,1572.4393
1667.4917,1592.2545
1668.9324,1596.358
1670.373,1600.0031
1671.8138,1573.8423
1673.2545,1532.6294
1674.6952,1568.4535
1676.136,1579.0962
1677.5767,1569.0188
1679.0173,1580.8291
1680.4581,1591.9395
1681.8988,1546.1427
1683.3395,1555.5179
1684.7802,1566.3993
1686.2209,1540.4779
1687.6616,1524.7231
1689.1023,1544.6002
1690.5431,1559.3514
1691.9838,1550.7666
1693.4244,1526.8387
1694.8651,1534.6316
1696.3059,1535.2762
1697.7466,1537.0197
1699.1873,1554.605
1700.6281,1529.6969
1702.0687,1540.1364
1703.5094,1521.3101
1704.9501,1539.9164
1706.3909,1525.6871
1707.8315,1511.673
1709.2722,1541.8019
1710.713,1517.2399
1712.1537,1519.7136
1713.5944,1529.3428
1715.035,1547.8146
1716.4758,1536.5491
1717.9165,1528.4318
1719.3572,1545.2782
1720.798,1520.3687
1722.2386,1510.3785
1723.6793,1534.7482
1725.1201,1538.9923
1726.5608,1512.3744
1728.0015,1503.105
1729.4421,1515.376
1730.8829,1511.9382
1732.3236,1503.2554
1733.7643,1479.4063
1735.2051,1502.0199
1736.6458,1497.2306
1738.0864,1530.9537
1739.5271,1489.9829
1740.9679,1500.7014
1742.4086,1493.1117
1743.8492,1505.8647
1745.29,1490.7397
1746.7307,1505.3527
1748.1714,1513.906
1749.6121,1489.6311
1751.0529,1489.8182
1752.4935,1496.8951
1753.9342,1478.3271
1755.375,1469.5798
1756.8157,1489.5968
1758.2563,1489.2618
1759.697,1480.1799
1761.1378,1458.9459
1762.5785,1483.9564
1764.0192,1484.8944
1765.46,1478.8765
1766.9006,1444.6525
1768.3413,1459.5364
1769.7821,1462.9924
1771.2228,1461.3834
1772.6635,1454.7181
1774.1041,1442.7742
1775.5449,1460.0731
1776.9856,1460.7557
1778.4263,1434.9603
1779.8671,1436.5646
1781.3077,1426.0554
1782.7484,1412.9952
1784.1891,1451.3013
1785.6299,1445.4032
1787.0706,1423.7982
1788.5112,1416.7297
1789.952,1449.038
1791.3927,1444.1492
1792.8334,1469.5255
1794.274,1445.5682
1795.7148,1441.5935
1797.1555,1419.8855
1798.5962,1410.4154
1800.037,1420.2135
1801.4777,1424.1361
1802.9183,1437.0961
1804.359,1417.0488
1805.7998,1384.3953
1807.2405,1404.8148
1808.6812,1422.1163
1810.1219,1431.2449
1811.5626,1455.2665
1813.0033,1457.0016
1814.4441,1441.4666
1815.8848,1431.3513
1817.3254,1415.8868
1818.7661,1413.3715
1820.2069,1414.7773
1821.6476,1394.9789
1823.0883,1409.6914
